6-per09-tumarkin-01.in		cocompact	# Thèse Geneviève Perren
6-per09-tumarkin-02.in		cocompact	# Thèse Geneviève Perren
6-per09-tumarkin-03.in		cocompact	# Thèse Geneviève Perren
5-per09-tumarkin-01.in		0	cocompact			# Thèse Geneviève Perren
5-per09-tumarkin-02.in		0	cocompact			# Thèse Geneviève Perren
5-per09-tumarkin-03.in		0	cocompact			# Thèse Geneviève Perren
5-per09-tumarkin-04.in		0	cocompact			# Thèse Geneviève Perren
5-per09-tumarkin-05.in		0	cocompact			# Thèse Geneviève Perren
5-per09-tumarkin-06.in		0	cocompact			# Thèse Geneviève Perren
5-per09-tumarkin-07.in		0	cocompact			# Thèse Geneviève Perren
5-per09-tumarkin-08.in		0	cocompact			# Thèse Geneviève Perren (erreur dans l'écriture du graphe)
5-per09-tumarkin-09.in		0	cocompact			# Thèse Geneviève Perren (erreur dans l'écriture du graphe)
5-per09-tumarkin-10.in		0	cocompact			# Thèse Geneviève Perren (erreur dans l'écriture du graphe)
5-per09-tumarkin-11.in		0	cocompact			# Thèse Geneviève Perren
5-per09-tumarkin-12.in		0	cocompact			# Thèse Geneviève Perren
5-per09-tumarkin-13.in		0	cocompact			# Thèse Geneviève Perren
5-per09-tumarkin-14.in		0	cocompact			# Thèse Geneviève Perren
5-per09-tumarkin-15.in		0	cocompact			# Thèse Geneviève Perren
5-per09-tumarkin-16.in		0	cocompact			# Thèse Geneviève Perren
5-per09-kaplinskaya-01.in	0	cocompact			# Thèse Geneviève Perren
5-per09-kaplinskaya-02.in	0	cocompact			# Thèse Geneviève Perren
5-per09-kaplinskaya-03.in		0	cocompact			# Thèse Geneviève Perren
5-per09-kaplinskaya-04.in		0	cocompact			# Thèse Geneviève Perren
5-per09-kaplinskaya-05.in		0	cocompact			# Thèse Geneviève Perren
5-per09-kaplinskaya-06.in		0	cocompact			# Thèse Geneviève Perren
